#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
42.251	543	42.277	572
42.302	531	42.327	555
42.352	515	42.378	538
42.404	497	42.428	519
42.454	478	42.479	501
42.505	457	42.530	483
42.555	437	42.581	468
42.606	419	42.631	454
42.656	403	42.682	444
42.708	389	42.732	437
42.758	381	42.783	434
42.809	376	42.834	435
42.859	376	42.885	441
42.910	379	42.935	451
42.961	388	42.986	463
43.012	400	43.036	478
43.062	416	43.088	495
43.113	434	43.138	513
43.163	454	43.189	531
43.215	475	43.239	549
43.265	494	43.290	564
43.316	513	43.341	577
43.366	529	43.392	586
43.417	542	43.443	592
43.467	550	43.493	595
43.519	556	43.544	593
43.569	556	43.594	588
43.620	551	43.646	578
43.670	542	43.696	566
43.721	530	43.747	551
43.772	514	43.797	534
43.823	496	43.848	517
43.873	476	43.899	500
43.924	454	43.950	483
43.974	434	44.000	467
44.026	416	44.051	455
44.076	400	44.101	446
44.127	388	44.153	440
44.177	380	44.203	438
44.228	375	44.254	439
44.279	375	44.304	446
44.330	380	44.355	455
44.380	390	44.405	467
44.431	402	44.457	482
44.481	418	44.507	498
44.532	437	44.558	515
44.583	456	44.608	533
44.634	477	44.659	549
44.684	497	44.710	563
44.735	515	44.761	576
44.785	531	44.811	585
44.837	543	44.862	591
44.887	552	44.912	592
44.938	556	44.964	590
44.988	555	45.014	584
45.039	550	45.065	576
45.090	540	45.115	563
45.141	527	45.166	549
45.191	511	45.216	532
45.242	492	45.268	515
45.292	472	45.318	498
45.343	451	45.369	482
45.394	432	45.419	468
45.445	413	45.470	456
45.495	399	45.521	448
45.546	386	45.572	442
45.596	378	45.622	441
45.648	374	45.673	443
45.698	376	45.723	449
45.749	381	45.775	458
45.799	391	45.825	470
45.850	404	45.876	485
45.901	421	45.926	501
45.952	439	45.977	518
46.002	460	46.027	534
46.053	480	46.079	549
46.103	500	46.129	563
46.154	518	46.180	574
46.205	533	46.230	583
46.256	545	46.281	588
46.306	553	46.332	590
46.357	556	46.383	586
46.407	555	46.433	580
46.459	549	46.484	571
46.509	539	46.534	559
46.560	525	46.586	545
46.610	508	46.636	529
46.661	489	46.687	513
46.712	469	46.737	497
46.763	448	46.788	482
46.813	429	46.839	469
46.864	411	46.890	458
46.914	396	46.940	450
46.965	385	46.991	445
47.016	377	47.041	444
47.067	375	47.092	447
47.118	377	47.143	453
47.168	383	47.194	462
47.219	393	47.244	473
47.270	407	47.295	487
47.321	424	47.345	503
47.371	443	47.397	518
47.422	463	47.447	535
47.472	484	47.498	549
47.524	503	47.548	562
47.574	521	47.599	572
47.625	535	47.650	580
47.675	547	47.701	583
47.726	554	47.751	585
47.776	556	47.802	583
47.828	554	47.852	577
47.878	548	47.903	568
47.929	537	47.954	556
47.979	522	48.005	542
48.030	506	48.055	527
48.081	485	48.106	512
48.132	465	48.156	497
48.182	445	48.208	482
48.233	425	48.258	470
48.283	408	48.309	460
48.335	394	48.359	452
48.385	384	48.410	448
48.436	377	48.461	448
48.486	376	48.512	450
48.537	378	48.562	456
48.587	386	48.613	465
48.639	396	48.663	476
48.689	410	48.714	489
48.740	429	48.765	504
48.790	448	48.816	519
48.841	467	48.866	534
48.892	488	48.917	548
48.943	506	48.967	559
48.993	523	49.019	571
49.044	537	49.069	577
49.094	547	49.120	581
49.146	554	49.170	583
49.196	556	49.221	580
49.247	552	49.272	575
49.297	545	49.323	565
49.348	533	49.373	555
49.399	518	49.424	542
49.450	501	49.474	526
49.500	482	49.525	512
49.551	462	49.576	497
49.601	441	49.627	484
49.652	423	49.677	472
49.703	407	49.728	462
49.754	394	49.778	455
49.804	383	49.830	450
49.855	378	49.880	450
49.905	376	49.931	453
49.957	379	49.981	458
50.007	386	50.032	467
50.058	399	50.083	477
50.108	414	50.134	490
50.159	432	50.185	504
50.210	451	50.235	519
50.261	471	50.286	534
50.311	490	50.336	547
50.362	510	50.388	560
50.412	527	50.438	569
50.463	540	50.489	576
50.514	549	50.539	581
50.565	554	50.590	582
50.615	554	50.641	578
50.666	551	50.692	573
50.716	542	50.742	564
50.768	530	50.793	552
50.818	515	50.843	540
50.869	497	50.895	526
50.919	476	50.945	511
50.970	456	50.996	497
51.021	438	51.046	484
51.072	419	51.097	473
51.122	403	51.147	463
51.173	390	51.199	456
51.223	382	51.249	453
51.274	378	51.300	453
51.325	378	51.350	455
51.376	382	51.401	461
51.426	390	51.452	469
51.477	402	51.503	479
51.527	418	51.553	492
51.579	437	51.604	505
51.629	456	51.654	519
51.680	476	51.706	534
51.730	494	51.756	547
51.781	513	51.807	558
51.832	528	51.857	568
51.883	540	51.908	574
51.933	548	51.959	579
51.984	553	52.010	580
52.034	553	52.060	576
52.085	547	52.111	570
52.136	539	52.161	563
52.187	526	52.212	552
52.237	510	52.263	539
52.288	493	52.314	526
52.338	473	52.364	512
52.390	453	52.415	498
52.440	434	52.465	485
52.491	417	52.517	474
52.541	402	52.567	465
52.592	391	52.618	458
52.643	382	52.668	454
52.694	379	52.719	454
52.744	380	52.770	457
52.795	385	52.821	461
52.845	394	52.871	469
52.896	407	52.922	480
52.947	422	52.972	492
52.998	440	53.023	505
53.048	460	53.074	520
53.099	480	53.125	534
53.149	498	53.175	546
53.201	516	53.226	558
53.251	530	53.276	567
53.302	542	53.328	573
53.352	549	53.378	576
53.403	551	53.429	577
53.454	551	53.479	574
53.505	545	53.530	569
53.555	536	53.581	561
53.606	522	53.632	550
53.656	506	53.682	539
53.707	488	53.733	525
53.758	468	53.783	512
53.809	449	53.834	498
53.859	431	53.885	485
53.910	414	53.936	474
53.960	401	53.986	466
54.012	390	54.037	459
54.062	383	54.087	455
54.113	381	54.139	455
54.163	383	54.189	458
54.214	388	54.240	463
54.265	398	54.290	470
54.316	411	54.341	481
54.366	428	54.392	493
54.417	446	54.443	506
54.467	465	54.493	519
54.519	484	54.544	533
54.569	501	54.594	545
54.620	517	54.645	556
54.670	531	54.696	565
54.721	541	54.747	572
54.771	548	54.797	575
54.823	549	54.848	575
54.873	547	54.898	573
54.924	540	54.950	568
54.974	531	55.000	560
55.025	518	55.051	549
55.076	502	55.101	538
55.127	483	55.152	526
55.177	465	55.203	512
55.228	447	55.254	499
55.278	429	55.304	486
55.330	413	55.355	475
55.380	400	55.405	466
55.431	390	55.456	459
55.481	385	55.507	456
55.532	383	55.558	455
55.582	385	55.608	458
55.634	392	55.659	463
55.684	403	55.709	471
55.735	416	55.761	482
55.785	432	55.811	493
55.836	450	55.862	506
55.887	468	55.912	520
55.938	486	55.963	533
55.988	504	56.014	546
56.039	519	56.065	557
56.089	531	56.115	566
56.141	541	56.166	572
56.191	546	56.216	575
56.242	547	56.267	576
56.292	545	56.318	574
56.343	537	56.369	568
56.393	526	56.419	560
56.445	513	56.470	550
56.495	496	56.520	538
56.546	479	56.572	525
56.596	461	56.622	512
56.647	443	56.673	498
56.698	426	56.723	486
56.749	411	56.774	475
56.799	399	56.825	466
56.850	391	56.876	460
56.900	386	56.926	457
56.952	386	56.977	456
57.002	389	57.027	459
57.053	396	57.079	464
57.103	407	57.129	472
57.154	421	57.180	482
57.204	436	57.230	494
57.256	454	57.281	507
57.306	472	57.331	520
57.357	490	57.383	533
57.407	505	57.433	546
57.458	520	57.484	557
