#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
41.085	405	41.111	492
41.136	405	41.161	481
41.186	404	41.212	473
41.238	405	41.262	467
41.288	405	41.313	464
41.339	404	41.364	465
41.389	404	41.415	469
41.440	403	41.465	476
41.491	404	41.516	485
41.542	403	41.566	496
41.592	403	41.618	509
41.643	403	41.668	522
41.693	403	41.719	536
41.745	404	41.769	550
41.795	405	41.820	562
41.846	405	41.870	571
41.896	406	41.922	580
41.947	407	41.972	584
41.997	407	42.023	585
42.049	409	42.073	585
42.099	411	42.124	580
42.150	410	42.175	573
42.200	412	42.226	562
42.251	413	42.276	550
42.302	414	42.327	537
42.353	414	42.377	524
42.403	414	42.429	510
42.454	413	42.479	497
42.504	411	42.530	486
42.556	410	42.580	477
42.606	408	42.631	470
42.657	406	42.681	467
42.707	405	42.733	466
42.758	402	42.783	468
42.808	400	42.834	475
42.860	398	42.884	482
42.910	397	42.935	493
42.961	396	42.986	505
43.011	395	43.037	518
43.062	395	43.087	531
43.113	396	43.138	545
43.164	397	43.188	557
43.214	399	43.240	567
43.265	401	43.290	576
43.315	403	43.341	580
43.367	407	43.391	584
43.417	409	43.442	583
43.468	412	43.492	579
43.518	416	43.544	574
43.569	418	43.595	565
43.619	420	43.645	554
43.671	422	43.696	541
43.721	422	43.746	527
43.772	423	43.798	515
43.822	421	43.848	502
43.873	419	43.899	491
43.924	417	43.949	482
43.975	414	44.000	474
44.025	409	44.051	470
44.076	406	44.102	468
44.126	402	44.152	470
44.178	399	44.203	474
44.228	394	44.253	481
44.279	391	44.305	491
44.329	389	44.355	501
44.380	388	44.406	514
44.430	388	44.456	527
44.482	388	44.507	539
44.532	389	44.557	552
44.583	392	44.609	562
44.633	395	44.659	571
44.684	399	44.710	578
44.735	405	44.760	581
44.786	409	44.811	581
44.836	414	44.862	578
44.887	418	44.913	573
44.937	423	44.963	566
44.989	426	45.014	555
45.039	428	45.064	544
45.090	429	45.116	532
45.140	430	45.166	519
45.191	429	45.217	508
45.241	428	45.267	496
45.293	424	45.318	486
45.343	419	45.368	480
45.394	415	45.420	474
45.444	408	45.470	472
45.495	403	45.521	472
45.546	398	45.571	476
45.597	392	45.622	481
45.647	388	45.673	489
45.698	384	45.724	499
45.748	381	45.774	510
45.800	380	45.825	523
45.850	380	45.875	535
45.901	382	45.927	546
45.951	385	45.977	557
46.002	389	46.028	565
46.052	394	46.078	571
46.104	401	46.129	576
46.154	407	46.179	577
46.205	413	46.231	576
46.255	420	46.281	572
46.306	425	46.332	566
46.357	431	46.382	557
46.408	434	46.433	547
46.458	437	46.484	536
46.509	438	46.535	524
46.559	437	46.585	513
46.611	434	46.636	502
46.661	431	46.686	492
46.712	425	46.738	485
46.762	419	46.788	480
46.813	412	46.839	476
46.864	405	46.889	475
46.915	399	46.940	478
46.965	391	46.990	482
47.016	385	47.042	489
47.066	380	47.092	498
47.117	376	47.143	508
47.168	374	47.193	519
47.219	373	47.244	530
47.269	375	47.295	541
47.320	378	47.346	551
47.370	384	47.396	559
47.422	389	47.447	566
47.472	397	47.497	570
47.523	404	47.549	573
47.573	412	47.599	572
47.624	420	47.650	570
47.675	428	47.700	564
47.726	433	47.751	557
47.776	438	47.801	549
47.827	442	47.853	539
47.877	443	47.903	528
47.928	443	47.954	518
47.979	442	48.004	507
48.030	437	48.055	498
48.081	431	48.106	490
48.131	426	48.157	484
48.182	417	48.207	481
48.233	409	48.258	480
48.284	400	48.308	481
48.334	392	48.360	485
48.385	385	48.410	490
48.435	378	48.461	497
48.487	373	48.511	506
48.537	369	48.562	516
48.588	368	48.612	525
48.638	369	48.664	535
48.689	373	48.714	545
48.739	377	48.765	553
48.791	383	48.815	560
48.841	392	48.866	565
48.892	400	48.917	567
48.942	409	48.968	569
48.993	418	49.018	566
49.044	427	49.069	563
49.095	435	49.119	556
49.145	441	49.171	549
49.196	447	49.221	541
49.246	449	49.272	531
49.298	449	49.322	521
49.348	448	49.373	512
49.399	444	49.424	504
49.449	438	49.475	496
49.500	431	49.525	491
49.550	423	49.576	486
49.602	412	49.626	485
49.652	403	49.677	486
49.703	393	49.728	488
49.753	384	49.779	492
49.804	376	49.829	498
49.855	370	49.880	505
49.906	367	49.930	514
49.956	364	49.982	522
50.007	364	50.032	531
50.057	366	50.083	540
50.109	371	50.133	548
50.159	378	50.184	554
50.210	386	50.235	559
50.260	396	50.286	562
50.311	406	50.336	563
50.361	416	50.387	563
50.413	426	50.437	559
50.463	436	50.488	555
50.514	443	50.539	549
50.564	449	50.590	541
50.615	453	50.640	533
50.666	454	50.691	525
50.717	454	50.741	517
50.767	451	50.793	510
50.818	444	50.843	502
50.868	436	50.894	497
50.920	428	50.944	493
50.970	417	50.995	491
51.021	407	51.046	491
51.071	395	51.097	493
51.122	386	51.148	495
51.172	376	51.198	500
51.224	369	51.249	506
51.274	363	51.299	512
51.325	360	51.351	520
51.375	360	51.401	527
51.426	361	51.452	535
51.477	366	51.502	542
51.528	372	51.553	548
51.578	381	51.604	553
51.629	391	51.655	556
51.679	402	51.705	557
51.731	413	51.756	557
51.781	424	51.806	555
51.832	435	51.858	552
51.882	444	51.908	547
51.933	451	51.959	541
51.984	455	52.009	535
52.035	458	52.060	529
52.085	458	52.110	521
52.136	456	52.162	514
52.186	450	52.212	508
52.237	443	52.263	503
52.288	433	52.313	500
52.339	422	52.364	497
52.389	411	52.415	497
52.440	399	52.466	497
52.490	388	52.516	499
52.542	378	52.567	502
52.592	369	52.617	507
52.643	362	52.669	513
52.693	359	52.719	518
52.744	357	52.770	525
52.795	358	52.820	531
52.846	361	52.871	537
52.896	368	52.921	542
52.947	376	52.973	546
52.997	386	53.023	548
53.048	397	53.074	551
53.099	409	53.124	551
53.150	421	53.175	550
53.200	432	53.226	548
53.251	443	53.277	544
53.301	451	53.327	540
53.353	457	53.378	535
53.403	460	53.428	529
53.454	461	53.480	524
53.504	459	53.530	519
53.555	454	53.581	514
53.606	447	53.631	510
53.657	438	53.682	506
53.707	427	53.732	504
53.758	415	53.784	503
53.808	403	53.834	503
53.859	390	53.885	504
53.910	380	53.935	507
53.961	370	53.986	510
54.011	362	54.037	514
54.062	358	54.088	518
54.112	355	54.138	523
54.164	355	54.189	527
54.214	358	54.239	533
54.265	364	54.291	536
54.315	372	54.341	540
54.366	382	54.392	542
54.417	394	54.442	544
54.468	406	54.493	545
54.518	418	54.544	545
54.569	430	54.595	542
54.619	441	54.645	541
54.670	450	54.696	538
54.721	457	54.746	534
54.772	462	54.797	530
54.823	463	54.848	526
54.873	462	54.899	522
54.924	457	54.949	518
54.975	451	55.000	515
55.026	443	55.050	512
55.076	432	55.102	510
55.127	420	55.152	509
55.177	407	55.203	509
55.229	395	55.253	510
55.279	383	55.304	511
55.330	373	55.355	513
55.380	364	55.406	515
55.431	358	55.456	519
55.481	355	55.507	522
55.533	353	55.557	525
55.583	356	55.608	529
55.634	361	55.659	532
55.684	368	55.710	534
55.735	377	55.760	536
55.786	388	55.811	537
55.837	401	55.861	538
55.887	414	55.913	538
55.938	426	55.963	537
55.988	438	56.014	536
56.040	448	56.064	534
56.090	456	56.115	532
56.141	461	56.166	529
56.191	464	56.217	527
56.242	464	56.267	525
56.292	460	56.318	522
56.344	455	56.368	520
56.394	447	56.419	518
56.445	436	56.470	517
56.495	424	56.521	516
56.546	412	56.571	515
56.597	399	56.622	515
56.648	387	56.672	516
56.698	376	56.724	517
56.749	367	56.774	519
56.799	359	56.825	520
56.851	355	56.875	522
56.901	354	56.926	524
56.952	355	56.977	525
57.002	359	57.028	528
57.053	365	57.078	529
57.104	374	57.129	530
57.155	385	57.179	531
57.205	397	57.230	531
57.256	410	57.281	532
57.306	422	57.332	532
57.357	434	57.382	532
57.408	445	57.433	530
57.459	453	57.483	529
