#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
54.213	409	54.239	564
54.263	405	54.289	567
54.315	402	54.340	568
54.365	404	54.390	566
54.416	409	54.442	560
54.466	417	54.492	553
54.517	428	54.543	545
54.568	439	54.593	534
54.619	453	54.644	524
54.669	466	54.694	511
54.720	480	54.746	500
54.770	494	54.796	491
54.821	504	54.847	482
54.872	513	54.897	476
54.923	519	54.948	472
54.974	522	54.999	470
55.024	522	55.050	471
55.075	519	55.100	475
55.126	512	55.151	481
55.177	503	55.201	490
55.227	492	55.253	499
55.278	479	55.303	510
55.328	465	55.354	522
55.380	452	55.404	533
55.430	438	55.455	542
55.481	427	55.505	552
55.531	417	55.557	559
55.582	410	55.607	564
55.632	406	55.658	567
55.684	404	55.708	567
55.734	407	55.759	564
55.785	412	55.810	558
55.835	418	55.861	551
55.886	430	55.911	542
55.937	442	55.962	532
55.988	455	56.012	520
56.038	469	56.064	510
56.089	482	56.114	498
56.139	495	56.165	489
56.191	505	56.215	481
56.241	514	56.266	475
56.292	519	56.317	472
56.342	521	56.368	471
56.393	520	56.418	473
56.443	517	56.469	478
56.495	510	56.519	484
56.545	500	56.570	492
56.596	489	56.621	502
56.646	477	56.672	513
56.697	462	56.722	524
56.748	450	56.773	535
56.799	437	56.823	545
56.849	426	56.875	554
56.900	416	56.925	560
56.950	411	56.976	564
57.002	406	57.026	566
57.052	407	57.077	565
57.103	409	57.128	562
57.153	413	57.179	557
57.204	422	57.229	549
57.254	433	57.280	538
57.306	445	57.330	528
57.356	457	57.381	517
57.407	471	57.432	507
57.457	484	57.483	496
